클립 FFE80A2B의 길이: 426초, 	'Turn'의 False 비율: 93.43%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A2C의 길이: 588초, 	'Turn'의 False 비율: 97.11%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.83%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A2D의 길이: 554초, 	'Turn'의 False 비율: 96.57%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A2F의 길이: 495초, 	'Turn'의 False 비율: 95.56%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.80%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A30의 길이: 778초, 	'Turn'의 False 비율: 96.27%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A31의 길이: 490초, 	'Turn'의 False 비율: 93.88%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A32의 길이: 555초, 	'Turn'의 False 비율: 96.04%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.82%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A33의 길이: 531초, 	'Turn'의 False 비율: 96.42%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A36의 길이: 571초, 	'Turn'의 False 비율: 92.99%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A37의 길이: 553초, 	'Turn'의 False 비율: 95.30%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A38의 길이: 369초, 	'Turn'의 False 비율: 94.85%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A39의 길이: 539초, 	'Turn'의 False 비율: 96.29%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
